I|tone_cr_pwr|in order to|seal_action||tone_action||seal_cr_pwr|I seal the|timecell|of|seal_func|With the|tone_name|tone of|tone_func|I am guided by |guiding_power|I am a galactic activation portal enter me|Castle:|Red Eastern Castle of Turning|White Northern Castle of Crossing|Blue Western Castle of Burning|Yellow Southern Castle of Giving|Green Central Castle of Enchantment|Wavespell:
1|1|1|1|RED|1|MAGNETIC|Unify|Attracting|Purpose|1|DRAGON|Nurture|Being|Birth|input| my own power doubled|1| |1|1|||||
2|1|1|1|WHITE|2|LUNAR|Polarize|Stabilizing|Challenge|2|WIND|Communicate|Breath|Spirit|input| the power of timelessness|| |2|2|||||
3|1|1|1|BLUE|3|ELECTRIC|Activate|Bonding|Service|3|NIGHT|Dream|Intuition|Abundance|input| the power of accomplishment|| |3|3|||||
4|1|1|1|YELLOW|4|SELF-EXISTING|Define|Measuring|Form|4|SEED|Target|Awareness|Flowering|input| the power of universal fire|| |4|4|||||
5|1|1|2|RED|5|OVERTONE|Empower|Commanding |Radiance|5|SERPENT|Survive|Instinct|Life Force|store| the power of space|| |5|1|||||
|6|1|1|2|WHITE|6|RHYTHMIC|Organize|Balancing|Equality|6|WORLDBRIDGER|Equalize|Opportunity|Death|store| my own power doubled|| |1|2|||||
7|1|1|2|BLUE|7|RESONANT|Channel|Inspiring|Attunement|7|HAND|Know|Healing|Accomplishment|store| the power of self-generation|| |2|3|||||
8|1|1|2|YELLOW|8|GALACTIC|Harmonize|Modeling|Integrity|8|STAR|Beautify|Art|Elegance|store| the power of free will|| |3|4|||||
9|1|1|3|RED|9|SOLAR|Pulse|Realizing|Intention|9|MOON|Purify|Flow|Universal Water|process| the power of life force|| |4|1|||||
10|1|1|3|WHITE|10|PLANETARY|Perfect|Producing|Manifestation|10|DOG|Love|Loyalty|Heart|process| the power of endlessness||I am a polar kin.  I extend the WHITE galactic spectrum|5|2|||||
11|1|1|3|BLUE|11|SPECTRAL|Dissolve|Releasing|Liberation|11|MONKEY|Play|Illusion|Magic|process| my own power doubled|| |1|3|||||
12|1|1|3|YELLOW|12|CRYSTAL|Dedicate|Universalizing|Cooperation|12|HUMAN|Influence|Wisdom|Free Will|process| the power of flowering|| |2|4|||||
13|1|1|4|RED|13|COSMIC|Endure|Transcending|Presence|13|SKYWALKER|Explore|Wakefulness|Space|output| the power of navigation || |3|1|||||
14|1|2|4|WHITE|1|MAGNETIC|Unify|Attracting|Purpose|14|WIZARD|Enchant|Receptivity|Timelessness|output| my own power doubled|| |4|2|||||
15|1|2|4|BLUE|2|LUNAR|Polarize|Stabilizing|Challenge|15|EAGLE|Create|Mind|Vision|output| the power of accomplishment|| |5|3|||||
16|1|2|4|YELLOW|3|ELECTRIC|Activate|Bonding|Service|16|WARRIOR|Question|Fearlessness|Intelligence|output| the power of universal fire|| |1|4|||||
17|1|2|5|RED|4|SELF-EXISTING|Define|Measuring|Form|17|EARTH|Evolve|Syncronicity|Navigation|matrix| the power of space|| |2|1|||||
18|1|2|5|WHITE|5|OVERTONE|Empower|Commanding |Radiance|18|MIRROR|Reflect|Order|Endlessness|matrix| the power of death|| |3|2|||||
19|1|2|5|BLUE|6|RHYTHMIC|Organize|Balancing|Equality|19|STORM|Catalyze|Energy|Self-Generation|matrix| my own power doubled|| |4|3|||||
20|1|2|5|YELLOW|7|RESONANT|Channel|Inspiring|Attunement|20|SUN|Enlighten|Life|Universal Fire|matrix| the power of free will|1| |5|4|||||
21|1|2|6|RED|8|GALACTIC|Harmonize|Modeling|Integrity|1|DRAGON|Nurture|Being|Birth|input| the power of life force|| |1|1|||||
22|1|2|6|WHITE|9|SOLAR|Pulse|Realizing|Intention|2|WIND|Communicate|Breath|Spirit|input| the power of endlessness|1| |2|2|||||
23|1|2|6|BLUE|10|PLANETARY|Perfect|Producing|Manifestation|3|NIGHT|Dream|Intuition|Abundance|input| the power of magic|| |3|3|||||
24|1|2|6|YELLOW|11|SPECTRAL|Dissolve|Releasing|Liberation|4|SEED|Target|Awareness|Flowering|input| my own power doubled|| |4|4|||||
25|1|2|7|RED|12|CRYSTAL|Dedicate|Universalizing|Cooperation|5|SERPENT|Survive|Instinct|Life Force|store| the power of navigation|| |5|1|||||
26|1|2|7|WHITE|13|COSMIC|Endure|Transcending|Presence|6|WORLDBRIDGER|Equalize|Opportunity|Death|store| the power of heart|| |1|2|||||
27|1|3|7|BLUE|1|MAGNETIC|Unify|Attracting|Purpose|7|HAND|Know|Healing|Accomplishment|store| my own power doubled|| |2|3|||||
28|1|3|7|YELLOW|2|LUNAR|Polarize|Stabilizing|Challenge|8|STAR|Beautify|Art|Elegance|store| the power of universal fire|| |3|4|||||
29|1|3|8|RED|3|ELECTRIC|Activate|Bonding|Service|9|MOON|Purify|Flow|Universal Water|process| the power of space|| |4|1|||||
30|1|3|8|WHITE|4|SELF-EXISTING|Define|Measuring|Form|10|DOG|Love|Loyalty|Heart|process| the power of death||I am a polar kin I convert the WHITE galactic spectrum|5|2|||||
31|1|3|8|BLUE|5|OVERTONE|Empower|Commanding |Radiance|11|MONKEY|Play|Illusion|Magic|process| the power of self-generation|| |1|3|||||
32|1|3|8|YELLOW|6|RHYTHMIC|Organize|Balancing|Equality|12|HUMAN|Influence|Wisdom|Free Will|process| my own power doubled|| |2|4|||||
33|1|3|9|RED|7|RESONANT|Channel|Inspiring|Attunement|13|SKYWALKER|Explore|Wakefulness|Space|output| the power of life force|| |3|1|||||
34|1|3|9|WHITE|8|GALACTIC|Harmonize|Modeling|Integrity|14|WIZARD|Enchant|Receptivity|Timelessness|output| the power of endlessness|| |4|2|||||
35|1|3|9|BLUE|9|SOLAR|Pulse|Realizing|Intention|15|EAGLE|Create|Mind|Vision|output| the power of magic|| |5|3|||||
36|1|3|9|YELLOW|10|PLANETARY|Perfect|Producing|Manifestation|16|WARRIOR|Question|Fearlessness|Intelligence|output| the power of flowering|| |1|4|||||
37|1|3|10|RED|11|SPECTRAL|Dissolve|Releasing|Liberation|17|EARTH|Evolve|Syncronicity|Navigation|matrix| my own power doubled|| |2|1|||||
38|1|3|10|WHITE|12|CRYSTAL|Dedicate|Universalizing|Cooperation|18|MIRROR|Reflect|Order|Endlessness|matrix| the power of heart|| |3|2|||||
39|1|3|10|BLUE|13|COSMIC|Endure|Transcending|Presence|19|STORM|Catalyze|Energy|Self-Generation|matrix| the power of abundance|1| |4|3|||||
40|1|4|10|YELLOW|1|MAGNETIC|Unify|Attracting|Purpose|20|SUN|Enlighten|Life|Universal Fire|matrix| my own power doubled|| |5|4|||||
41|1|4|11|RED|2|LUNAR|Polarize|Stabilizing|Challenge|1|DRAGON|Nurture|Being|Birth|input| the power of space|| |1|1|||||
42|1|4|11|WHITE|3|ELECTRIC|Activate|Bonding|Service|2|WIND|Communicate|Breath|Spirit|input| the power of death|| |2|2|||||
43|1|4|11|BLUE|4|SELF-EXISTING|Define|Measuring|Form|3|NIGHT|Dream|Intuition|Abundance|input| the power of self-generation|1| |3|3|||||
44|1|4|11|YELLOW|5|OVERTONE|Empower|Commanding |Radiance|4|SEED|Target|Awareness|Flowering|input| the power of free will|| |4|4|||||
45|1|4|12|RED|6|RHYTHMIC|Organize|Balancing|Equality|5|SERPENT|Survive|Instinct|Life Force|store| my own power doubled|| |5|1|||||
