Yo,|tone_cr_pwr|con el fin de|seal_action||tone_action|endo|seal_cr_pwr|Sello el|timecell|de|seal_func|con el tono |tone_name|de|tone_func|Me guía|guiding_power|Soy un Portal de Activación Galáctica|Castillo:|Red Eastern Castle of Turning|White Northern Castle of Crossing|Blue Western Castle of Burning|Yellow Southern Castle of Giving|Green Central Castle of Enchantment|Onda Encantada:
1|1|1|1|ROJO|1|MAGNÉTICO|Unifica|Atraer|Propósito|1|Dragón|Nutrir|Ser|Nacimiento|entrada| mi propio poder duplicado|1| |1|1|||||
2|1|1|1|BLANCO|2|LUNAR|Polariza|Estabilizar|Desafío|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de atemporalidad|| |2|2|||||
3|1|1|1|AZUL|3|ELÉCTRICO|Activa|Vincular|Servicio|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de realización|| |3|3|||||
4|1|1|1|AMARILLO|4|AUTO-EXISTENTE|Define|Medir|Forma|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de fuego universal|| |4|4|||||
5|1|1|2|ROJO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de espacio|| |5|1|||||
6|1|1|2|BLANCO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| mi propio poder duplicado|| |1|2|||||
7|1|1|2|AZUL|7|RESONANTE|Canaliza|Inspirar|Sintonización|7|Mano|Conocer|Sanación|Realización|almacén| el poder de auto generación|| |2|3|||||
8|1|1|2|AMARILLO|8|GALÁCTICO|Armoniza|Modelar|Integridad|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de libre voluntad|| |3|4|||||
9|1|1|3|ROJO|9|SOLAR|Pulsa|Realizar|Intención|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de fuerza vital|| |4|1|||||
10|1|1|3|BLANCO|10|PLANETARIO|Perfecciona|Producir|Manifestación|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de sin fin||I am a polar kin.  I extend the WHITE galactic spectrum|5|2|||||
11|1|1|3|AZUL|11|ESPECTRAL|Disuelve|Divulgar|Liberación|11|Mono|Jugar|Ilusión|Magia|proceso| mi propio poder duplicado|| |1|3|||||
12|1|1|3|AMARILLO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de florecimiento|| |2|4|||||
13|1|1|4|ROJO|13|CÓSMICO|Perdura|Transcender|Presencia|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de navegación || |3|1|||||
14|1|2|4|BLANCO|1|MAGNÉTICO|Unifica|Atraer|Propósito|14|Mago|Encantar|Receptividad|Atemporalidad|salida| mi propio poder duplicado|| |4|2|||||
15|1|2|4|AZUL|2|LUNAR|Polariza|Estabilizar|Desafío|15|Águila|Crear|Mente|Visíon|salida| el poder de realización|| |5|3|||||
16|1|2|4|AMARILLO|3|ELÉCTRICO|Activa|Vincular|Servicio|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de fuego universal|| |1|4|||||
17|1|2|5|ROJO|4|AUTO-EXISTENTE|Define|Medir|Forma|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de espacio|| |2|1|||||
18|1|2|5|BLANCO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de muerte|| |3|2|||||
19|1|2|5|AZUL|6|RÍTMICO|Organiza|Equilibrar|Igualdad|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| mi propio poder duplicado|| |4|3|||||
20|1|2|5|AMARILLO|7|RESONANTE|Canaliza|Inspirar|Sintonización|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de libre voluntad|1| |5|4|||||
21|1|2|6|ROJO|8|GALÁCTICO|Armoniza|Modelar|Integridad|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de fuerza vital|| |1|1|||||
22|1|2|6|BLANCO|9|SOLAR|Pulsa|Realizar|Intención|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de sin fin|1| |2|2|||||
